,0,1,2,3,4,5,6
35,QJpMGyakluTP-kHJO899ENXBPM_unWmQ4saD81T4YUTreNKA,iJU85DQrw4rPEUFxw6nJu5moOPIlzJTjgaLU7ezESDVYXZu9btSX4DHA,BjKHHBtQpW96-sZaEeyVxDbZ6dKnXu7tnPpRSEesefA9qgZXWHuie79jEcSU4fahHrtv1pVqRi73Bg,Z0LIAZ,3377.0,1610988877000.0,135.0
36,I-sn-7Wabp06maR_p6mh-GRXVGUpRtTRQD-K_VzLulbTRLnH,1NYmjKSEBqyk7-Cs4G2MiNhgHd1C1aEV_NSkOn1L9zSq8YwDu4vu4M0k,Paz8I0bKHlSUrbBLoeptNmoBmjgGYd9pXWQVgCfRpUcfb3marU2DaSVGgB-hYJ6D0zka0_-HLlTr5g,SaiMello,3545.0,1608365227000.0,14.0
37,vby8vnoXCswXNQQL3I2b7Wm6hpxMBo0pJQhZAuQb8pMC_8wW,KVDonBVoxouw4HGPv3QsyYEcQqjvOyz5GJSAc2jGWICy-I5BK_DZ6zbQ,lxtO_hhMPuxdPeIdthtrUGf5XwahNHZ33ttAmfF3nzzidxpn5WsNTPjWdAsLNrb69UAb8Ne9ko0zoQ,SleepyGreenTea,4763.0,1611281478000.0,79.0
38,oBPMH2WL53a9mTinC-pRh4R-CCglS_J_LbZkB_PS-4-oVmB2,TgAzoobm65nlQoGXtt5yo6CIqNNoqSw8tMhQo-0CDIjETv9VzECKJzrv,nBSZmNThz2V2FzpgmrThEMfAxBF9VNVMoR5BuLzGTI2S2eQWOmXMplH7GMcqJ5i4CIpKRu_viu-QQw,Valcor36,4834.0,1608354125000.0,69.0
39,MM6GgkY1BA1m68PKHBtViGn2U53plq-mKu0jh5B7iDfd0d5-,X8wZnWQl7P7L_NUEZHnMB6Mo49ZEbokG0T1qHyS0I4k8yTZ2WUoyrODO,8eRfViuLij4ABOyUpYX8exyAG0AP62ugKtHIskTyVfmmLvsNP54-eY2OkKdziudksUHUfN7-FDIPuQ,StevenTran0,685.0,1611380446238.0,205.0
40,q0xJIbpIWtuGo6vxytITUep3TZhWRZNStY0sFsUD1pjz6mFk,DlY6pi31ZbtQBEjKRflMB6SvewY1FiCgj6TPdAY2Gr_LcLERYCS8z1jS,17dVGk8mz7HRxzvRIs8ZJ36jqXjRg2eG3-FVfg92XkkopSNLcliDrNmLdBzsDIplmyBqsbNx-ypTrw,lakemons,3543.0,1611015377000.0,25.0
41,ZvXwU56DSBggZtOgho7WI8sUlAh937ZM_4cqKtqxBZdwVNcl,NZHSW9a-kJORsogXVdjaRP23mMIBdHEHWcxwRGgfY4SeXehbqzkz1Mq9,EFCnp8sfk92lM40Z4tAcOl1_aKFif5yiTT1QJH7QXj-dre-L1GqWXR_IaJomioYWJawu6CfBlLH4Tg,Matiufa,4653.0,1611147145000.0,218.0
42,kcVipAcHIgksXkqG7V7ImPoaVjlIDs6m1yqBcW4Ghm3zcSg,0Y3ItJIoDUi-VO2ldzqikU8QgJGz7DQBIOtQf4n4B7dF0g,_uM_tk3LeVZWOiqnRwzWSQR5SaNEUMa2A8KTTmVkd7AvR2Wd_BlkZlqI2flKpxzBrnxx05cyX5rQ1A,WaddlingPenguin,3545.0,1610949009000.0,3.0
43,qg968n0zDtrF3T6cFVDxY0Gd98RZWgyOACIBQqIugoTRX-lv,Pzdja41Jg8ODeAmLtHrYaBFF0DTrfKw1tyIiVWDoq9afPI9Kab-uO4ap,e4YCPHBWm6beaknZdrvE8uZQMIwRTVWWtypbvKXUB-QHXaejTlbWIcrNIx-BZt57oxxNv09fNiw2NQ,SinanjuStein,4804.0,1611367730000.0,116.0
44,vVh5YGzrtxZRyfFMSIhXVY4Hylyr_W-GTRCPb_7_ikDpI1an,83aT3Cdag-h3d9QQj07qHIP3ByoNCQ0w6sIpzwQSBkPH7HMfH4W0WrFB,WK_QwbSHFkWx71KoA0J02uxQY8SXtPAE7bky0I58aZvQep8C64gkCM9iXeFNEplr4wlw6_kc2xmBcA,Kisume12,4779.0,1608932011000.0,37.0
45,ejnkWhA6juHWJqF8XWY1m68j_gGGnP9bkr-Sd3IxPm7-M1P8,IPtawCYjLlnnVEJjs1tI-tNhgiWj6Q7-LOTlugLEDGLfrmwYu7A_d83P,8PUrw83k7fNHxBYJK4177WwBuhy7MPr0UW-lDD0cdR4KvgzcZM4_PLeIguLannh5U-HBhbvErVcWhg,XinWanggg,4661.0,1611427860972.0,272.0
